year,hires,terminations,net_change,net_change_percent
2000,211,26,185,87.68
2001,1082,197,885,81.79
2002,1012,162,850,83.99
2003,1088,198,890,81.80
2004,1087,206,881,81.05
2005,1038,196,842,81.12
2006,1069,200,869,81.29
2007,1058,158,900,85.07
2008,1061,155,906,85.39
2009,1094,163,931,85.10
2010,1050,146,904,86.10
2011,1057,125,932,88.17
2012,1059,127,932,88.01
2013,1042,107,935,89.73
2014,1014,102,912,89.94
2015,1011,102,909,89.91
2016,1076,85,991,92.10
2017,1043,69,974,93.38
2018,1090,63,1027,94.22
2019,1038,63,975,93.93
2020,967,47,920,95.14
